Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
Mike White,News,MIKE. WHITE. ,49,488,"3,701",72,0.0,neu
Mike White,News,"""By no means are we trying to make this a moral victory because moral victories don't count in the NFL,  but I'm really proud on how the guys stayed together... we responded, we just got to respond better""   - Mike White after today's loss",13,49,542,7,0.7086,pos
Mike White,News,Mike White showed today that he is not a fluke. How good he is is still unknown but he can play NFL starter QB reps vs good teams. MLF has to help him in the RZ going forward. Today was bad by the OC. #Jets,22,29,422,422,0.7717,pos
Mike White,News,The “what ifs”in this game are plenty. But one thing is clear Mike White should play the remainder of the season.,11,33,270,5,0.7579,pos
Mike White,News,"The fact that Mike White wins Emmy’s, makes final tribal on Survivor, and plays quarterback for the New York Jets is so impressive.",18,64,"1,422",2,0.9089,pos
Mike White,News,These announcers every time Mike White completes a screen pass for 3 yards. #Skol,5,9,183,183,0.0,neu
Mike White,News,Zach Wilson watching Mike White,59,946,"8,253",54,0.0,neu
Mike White,News,"I'm rewatching some of this Mike White performance (on broadcast, film isn't out yet) and... man, if you're not giddy about what Mike White just did today, I really don't know what to tell you. SO many big-boy throws into tight windows, often when pressured  I'm stoked about him.",76,54,"1,022",9,-0.1169,neg
Mike White,News,"Hear me out, Mike White... The White Lotus: Rio starring Sonia Braga as the hotel manager and Alice Braga as her nepobaby. Wagner Moura, Mia Goth, Rodrigo Santoro, Fernanda Montenegro and Alfred Enoch in the cast. Jennifer Coolidge learning to dance samba. Another hit.",55,530,"2,705",183,-0.296,neg
Mike White,News,"""That boy's a dawg, man. He was out there controlling the huddle and never letting the moment get too big.""  - Garrett Wilson on Mike White",3,30,352,3,0.0,neu
Mike White,News,"If you are refusing to acknowledge the obvious difference in current readiness for the pro game between Mike White & Zach Wilson, ok - you're a #Jets fan.  We're cool.  But you can't sit at the grownups table anymore.  Unserious. MW starts next week 100%",52,13,321,2,0.3716,pos
#VTuberProm,News,"You can't tell me she isn't the prom date of your dreams, because I'm in love and I will cry if she isn't.  #VtuberProm",10,51,402,1,0.5859,pos
#VTuberProm,News,"∘ ・。✦•°°•✦ 。・ ∘  « I never thought we could dance in this same light but that day has finally arrived and as always let me follow your steps . Let's spread the love and happiness, so... Shall we start  @NemuzukiKokoa  ?  »  ∘ ・。・✦•°❀°•✦・。・ ∘  #VTuberProm",6,18,85,2,0.9136,pos
#VTuberProm,News," Maybe it’s a fairy tale, but I believe in happily ever after.   Happy #VTuberProm ",13,26,213,139,0.899,pos
#VTuberProm,News,[𝒮𝒽𝒶𝓁𝓁 𝓌𝑒 𝓉𝑒𝒶𝒸𝒽 𝓉𝒽𝑒𝓂 𝒽𝑜𝓌 𝒶 𝓇𝑒𝒶𝓁 𝓉𝒶𝓃𝑔𝑜 𝓁𝑜𝑜𝓀𝓈 𝓁𝒾𝓀𝑒?]  #VTuberProm with the darling @/AnankissVT   :  @AnankiArt   #VTuberProm2022 #HarukuroIllust #ArtnKiss #VTuberUprising #ENVtuber,4,8,75,75,0.5859,pos
#VTuberProm,News,When your prom date has another lover #VTuberProm,0,1,17,17,0.5859,pos
#VTuberProm,News,"''A beautiful night for a dance, dont you think ~''  tysm for inviting me  @edewinterdorn  to prom! #VTuberProm #VTuberEN #riinillust",9,15,136,1,0.7574,pos
#VTuberProm,News,"I know it's late but I drew this for #vtuberprom  but  @Z_KingVT  did ask me and since we had fancy outfits designed, why not!! Also enjoy ponytail Semi!",9,8,46,1,-0.6506,neg
#VTuberProm,News,𝑯𝒆𝒂𝒗𝒆𝒏 𝒔𝒊𝒏𝒈𝒔 𝒕𝒐 𝒕𝒉𝒆 𝒃𝒆𝒂𝒕 𝒐𝒇 𝒐𝒖𝒓 𝒘𝒊𝒏𝒈𝒔...   ~ Revealing my VTuber prom date to be Luna Nightshade of AhoyVT  #VTuberProm #VTuberUprising #TianyArt,6,7,40,40,0.0,neu
#VTuberProm,News,Ok so for anyone seeing this that is wondering what #VTuberProm is. This is it below. You just need to substitute the date out for December 4th.,26,204,523,77,0.296,pos
#VTuberProm,News,When your girlfriend becomes a windex bottle  #Vtuber | #VTuberProm |#VTuberUprising | #twitchclips,16,31,150,2,0.0,neu
#VTuberProm,News,vtuber prom who? no i take my date to the beach to relax <3 we comfy vibes #VTuberProm,1,1,3,4,0.5574,pos
#VTuberProm,News,Odd silhouettes...I wonder what this is about... #VTuberProm,2,5,43,43,-0.3182,neg
#VTuberProm,News,HORRIBLE SKETCH THAT WILL BE IMPROVED BUT AYE #VTuberProm WITH  @QTie_Art  AND  @ProjectKera,1,3,9,9,-0.0516,neg
#VTuberProm,News,IT’S MONSTER GIRL APPRECIATION NIGHT  Join me and my wonderful #VTuberProm date @/agfarsenal for an evening of reviewing monster girls and saying thing we will regret in the morning!   IT STARTS 9 PM EST  #VTubersAreStillWatching #VTuberUprising ,11,12,113,113,0.8139,pos
#VTuberProm,News,#VTuberProm If you didn’t get to go to prom this year () there is always next year. But we also don’t need to wait that long either. There are more holidays on the horizon that can be just as fun like New Years and Valentines Day! Let’s make the most of everything. ,0,1,5,5,0.9158,pos
#VTuberProm,News,we didn't go to prom we slept in instead. with  @milo_no5   --- #VTuberProm #draw005 #shivantgarde,5,5,26,26,0.0,neu
Freezies,News,wtf is a zooper dooper and a otter pop those are FREEZIES you maniacs,13,0,31,N/A,-0.7184,neg
Freezies,News,"// depends on who i'm talking to. for family ""freeze pops"", for most other people ""otter pops"", for my highschool band director specifically ""freezies""",2,0,6,N/A,0.0516,pos
Freezies,News,You’re all wrong they’re freezies,2,0,4,N/A,-0.4767,neg
Freezies,News,freezies.. purple and blue are the best flavours,0,0,5,N/A,0.6369,pos
Freezies,News,they  are  FREEZIES!!!!,2,1,3,3,0.0,neu
Freezies,News,FREEZIES DNI IF YOU DONT AGREE,1,0,3,N/A,-0.2755,neg
Freezies,News,Trending in Canada Freezies  Strange how Freezies and Zellers seems to trend every so often in Canada.,0,0,0,N/A,-0.2023,neg
Freezies,News,Lawful: popsicle  Neutral: freezies  Chaotic: zooper dooper,0,0,3,N/A,-0.4939,neg
Freezies,News,"Here in Canada, we call them Freezies! I love them so much!",0,1,6,1,0.6988,pos
Freezies,News,FREEZIES,1,0,0,"2,196",0.0,neu
Freezies,News,quick what do you call these,"3,258","2,194","7,031","2,063",0.0,neu
Freezies,News,freezies,0,1,59,"2,196",0.0,neu
Freezies,News,Freezies!!,7,1,203,"2,196",0.0,neu
Freezies,News,Mr.Freezies or just Freezies,1,0,17,21,0.0,neu
Freezies,News,freezies and if u say anything other then ur wrong,0,1,1,1,-0.4767,neg
Freezies,News,"THEY ARE FREEZIES NOT FUCKING ""ZOOPER DOOPERS"" OR WHATEVER YALL CALL IT",0,0,0,N/A,0.0,neu
Freezies,News,freezies,0,0,3,N/A,0.0,neu
Freezies,News,These are freezies argue with the wall,0,0,2,N/A,-0.34,neg
Freezies,News,popsicle or freezies,6,0,2,N/A,0.0,neu
Freezies,News,freezies is the only right answer,5,3,210,"2,196",0.0,neu
Freezies,News,they’re called freezies,1,0,1,N/A,0.0,neu
Freezies,News,freezies they arent called anything else,7,0,11,N/A,0.0,neu
