Topic,Tag,Tweet,Replies,Retweets,Likes,Quote Retweets,Sentiment Score,Sentiment
Music,News,#SOOBIN : happy birthday to our soobie! ⸝⸝-  ̫ -⸝⸝,5,25,46,4,0.6114,pos
Music,News,Happy birthday to SOOBIN.  I vote for #SOOBIN of #TXT for #TOP100MostHandsomeFace,0,19,31,0,0.5719,pos
Music,News,"my , i love you so much hope u are happy on this day, then i will be happy with you! you shine, you are my star`★  #HAPPYSOOBINDAY #HAPPYBIRTHDAYSOOBIN",1,4,26,26,0.9439,pos
Music,News,soobin's habits   #SOOBIN #수빈,5,478,"1,013",57,0.0,neu
Music,News,#soobin  white ferrari frank ocean birthday edit txt,2,18,69,69,0.0,neu
Music,News,#SOOBIN:                             :¨·.·¨:           — B@ck 2 where                           we belong ✿                            `·..·‘ @txt_members,1,9,30,3,0.0,neu
Music,News,isn't this how angels sound?? #HUENINGKAI #SOOBIN,2,38,149,1,0.0,neu
Music,News,HAPPY BIRTHDAY SOOBIN！！ #SOOBIN  #SOOBINBIRTHDAY,0,0,0,N/A,0.5719,pos
Music,News,soobin birthday edit ! ★ #soobin,2,0,3,N/A,0.0,neu
Music,News,#soobin who always takes care of his #hueningkai ♡,0,52,205,2,0.4939,pos
Music,News,#SOOBIN bday boy <3,7,56,115,2,0.4404,pos
Music,News,My Soobin  how much I love you   Happy Birthday Soobiboooo  You mean the world to me #SoobinDay #HappyBirthdaySoobin #생일축하해수빈,0,2,15,15,0.836,pos
Music,News,a hug from #soobin in case you need it,9,419,"1,178",33,0.4767,pos
Music,News,#SoobinDay #HappyBirthdaySoobin  Happy day to one of the Best liderrs,0,1,29,29,0.836,pos
Music,News,I vote for #TAEHYUN #YEONJUN #SOOBIN #BEOMGYU #HUENINGKAI  of #TXT for #TOP100MostHandsomeFace,0,1,0,N/A,0.0,neu
Music,News,#Taehyun complaining about #Soobin's poor hair tying skills with the most sparkly eyes   :  He was so bad at tying hair   :  He kept pulling on it   : right (⁠◠⁠‿◠⁠)   ㅡ #태현 #テヒョン,0,37,100,3,-0.8552,neg
Hasan,News,#WATCH: Rohit Sharma loses cool over Washington Sundar as latter doesn't go for a catch to dismiss Mehidy Hasan  #INDvBAN #RohitSharma #WashingtonSundar,1,1,6,6,0.0,neu
Hasan,News,my mom said i looked good so i was confident enough to post it,654,"1,061",22.8K,369,0.7479,pos
Hasan,News,all the people who’s content i stole for this award,112,255,"5,128",61,0.628,pos
Hasan,News,HASAN WAS ROBBED,2,16,99,99,0.0,neu
Hasan,News,People on my h*t l*st after tonight:  - The streamys host  - Whoever chose the streamys host  - Whoever gave a microphone to the streamys host - Whoever chose the clips for hasan's nomination segments  - Whoever voted against hasan winning any of his nominated categories,6,31,256,258,0.5267,pos
Hasan,News,“it’s me i’m the biggest fan” i can’t breathe hasan pls,0,4,50,50,0.0772,pos
Hasan,News,"Mehidy Hasan Miraz said, ""I kept telling myself that I can do it, and I was glad to do it"".",15,29,"1,087",1,0.4588,pos
Hasan,News,HASAN AND AVANI ARE GORGEOUS,0,8,179,179,0.6124,pos
Hasan,News,hasan a bee streamer of the year and best just chatting streamer,0,13,136,1,0.6369,pos
Hasan,News,We have to keep dissing the Nazis all the time.,12.4K,24.4K,192.7K,"1,769",0.0,neu
Hasan,News,hasan after adin ross takes his job as a political commentator,77,874,47.4K,32,0.0,neu
Hasan,News,are we just going to have elon claim every election he doesnt like the outcome of stolen by twitter now?,967,"2,761",45.6K,79,-0.6497,neg
Hasan,News,"moments like this should prove to all workers how right wing the media is. they are not for the worker, they side with capital and the bosses every time.",326,"3,847",24.7K,56,0.3612,pos
Hasan,News,"crying and shaking, thinking about how hasan is going to live react instead of spooky gaming",16,16,713,1,-0.5859,neg
Hasan,News,Same energy.,24,113,"1,086","4,499",0.2732,pos
Hasan,News,"hasan saying hi to us every time he comes in this room :,)",6,12,192,192,0.0,neu
Hasan,News,omg congrats hasan for winning all the categories you were nominated in!!!,4,11,59,60,0.826,pos
Hasan,News,HASAN AND QUACKITY,0,4,42,42,0.0,neu
Hasan,News,i know bob hasn’t a CLUE who hasan is ,7,2,254,255,0.0,neu
Hasan,News,I’ll say it again. Mehdi Hasan is a HUGE antisemite. His care for Jews comes when it is politically convenient for him. He’s not much different than his far-right pundit counterparts. He’s a perfect representation of one side of political horseshoe theory.,0,4,22,22,0.873,pos
Hasan,News,"hasan was a better host in 30 seconds than the actual host, let’s reflect",1,3,113,113,0.4404,pos
Hasan,News,hasan’s twin kinda ate him up idk,9,0,238,N/A,-0.1027,neg
Mike White,News,Mike White leads Jets teammates into stadium with 'Mighty Ducks' jersey after players show support,12,12,71,1,0.4019,pos
Mike White,News,"If you’re blaming Mike White, you’re blaming the wrong Mike.",116,132,"1,721",13,-0.8591,neg
Mike White,News,"Garrett Wilson on playing with Mike White:  ""I'll go to war for that boy. He's got something special about him.""",25,207,"1,859",37,-0.1027,neg
Mike White,News,If mike white kills off jennifer coolidge I stg I’m sending these two after him #WhiteLotus,2,12,226,2,-0.5423,neg
Mike White,News,This throw by Mike White with the entire game on the line was sensational. He almost got killed on the previous play making this even more impressive. #Jets,23,106,638,28,0.1953,pos
Mike White,News,Mike White in the clutch!!!,28,51,647,11,0.0,neu
Mike White,News,"Everyone is talking about the Braxton Berrios drop but the play that will haunt me is this COULDA, WOULDA, SHOULDA 86 yard TD if Mike White hits Garrett Wilson WHO WAS WIDE OPEN!  #TakeFlight #Jets #Vikings #SKOL   @NFL",27,36,371,12,-0.69,neg
Mike White,News,Mike White throws with the arrogance of Dan Marino. The Jets might have something here.,20,39,"1,515",1,-0.5267,neg
Mike White,News,Zach Wilson playing like crap with a lot of yards vs Mike White playing like crap with a lot of yards,5,6,109,1,0.34,pos
Mike White,News,"Over his 6 career games, the #Jets offense has gained 2,088 yards over 55 drives led by Mike White  38.0 yards per drive.  How good is that?  It would rank 3rd-best among all teams this year behind only KC (41.8) & BUF (39.0)  It's OK to start being legitimately excited about MW.",15,79,739,10,0.8331,pos
Mike White,News,Mike White is the quarterback of the New York #Jets the rest of this season. No legit debate exists. Figure out the future after that.,176,170,"2,313",18,-0.296,neg
Mike White,News,Mike White Vs 1 PM Kirk Cousins next week,28,"2,390",32.9K,78,0.0,neu
Mike White,News,Just a reminder: Mike White is in the Hall of Fame.,4,75,983,5,0.4404,pos
